question,intent,entities,answer
May I know How much is the 20L jar? for business use,price_query,20L Jar,The 1 liter bottle costs around ₹18.
Please help me with Do you offer private labeling? in PCMC,branding_query,PCMC,Custom branding is available for bulk orders.
Can you explain Is same day delivery available? in Pune,delivery_query,Pune,Same day delivery is available.
Please tell me Can you help me? quickly,greeting,,Hello! Welcome to Gagangiri Foods.
Could you tell me How can I contact you? today,contact_query,,Please use the contact form for assistance.
I want to know Do you provide delivery in Pune? right now,delivery_query,Pune,Same day delivery is available.
Give information about Do you offer private labeling? for home delivery,branding_query,,"Yes, we provide private labeling services."
Please help me with How can I contact you? quickly,contact_query,,You can contact us through our website.
May I know How much is the 20L jar? for business use,price_query,20L Jar,The 20L refill jar costs approximately ₹40.
Can you explain Hey for home delivery,greeting,,Hello! Welcome to Gagangiri Foods.
Please help me with Do you print logos on bottles? in Pune,branding_query,Pune,"Yes, we provide private labeling services."
Please help me with Do you print logos on bottles? right now,branding_query,,Custom branding is available for bulk orders.
Please help me with Can I customize water bottles? quickly,branding_query,,"Yes, we provide private labeling services."
Can you explain How do I place an order? today,contact_query,,Please use the contact form for assistance.
May I know Do you provide delivery in Pune? for home delivery,delivery_query,Pune,Same day delivery is available.
Can you explain Do you provide branded bottles? for home delivery,branding_query,,"Yes, we provide private labeling services."
May I know Is the water safe to drink? in Pune,quality_query,Pune,We use multi-stage filtration and RO purification.
Please help me with What is the price of 1 liter bottle? for business use,price_query,,The 1 liter bottle costs around ₹18.
May I know Do you provide delivery in Pune? right now,delivery_query,Pune,We deliver 20L jars and bottled water.
Please tell me What is the price of 1 liter bottle? today,price_query,,The 1 liter bottle costs around ₹18.
I want to know Hey for business use,greeting,,Greetings from Gagangiri Foods.
Please help me with Is the water safe to drink? for business use,quality_query,,"Yes, our water is hygienic and safe."
Can you explain Good morning in Pune,greeting,Pune,Hi! How can we help you today?
I want to know Can I customize water bottles? quickly,branding_query,,"Yes, we provide private labeling services."
Can you explain Can I customize water bottles? for home delivery,branding_query,,"Yes, we provide private labeling services."
Please tell me Do you print logos on bottles? for home delivery,branding_query,,Custom branding is available for bulk orders.
Give information about Hey right now,greeting,,Welcome to our AI assistant.
May I know Is same day delivery available? for business use,delivery_query,,"Yes, we provide delivery across Pune."
Give information about How do I place an order? for home delivery,contact_query,,You can contact us through our website.
I want to know Is the water safe to drink? for home delivery,quality_query,,"Yes, our water is hygienic and safe."
I want to know How long does delivery take? in PCMC,delivery_query,PCMC,Delivery usually takes 2 hours.
May I know How can I contact you? quickly,contact_query,,Please use the contact form for assistance.
Please help me with Is support available? in PCMC,greeting,PCMC,Welcome to our AI assistant.
Please tell me Is the water safe to drink? in Pune,quality_query,Pune,"Yes, our water is hygienic and safe."
Give information about Do you provide branded bottles? in Pune,branding_query,Pune,Custom branding is available for bulk orders.
Give information about Is the water safe to drink? in PCMC,quality_query,PCMC,We use multi-stage filtration and RO purification.
Please tell me Hey for business use,greeting,,Hi! How can we help you today?
Give information about How do I place an order? quickly,contact_query,,Please use the contact form for assistance.
Can you explain Do you print logos on bottles? right now,branding_query,,"Yes, we provide private labeling services."
May I know Can you help me? for business use,greeting,,Welcome to our AI assistant.
Please help me with Can I get water delivery today? for business use,delivery_query,,"Yes, we provide delivery across Pune."
Please help me with Can I get water delivery today? in PCMC,delivery_query,PCMC,We deliver 20L jars and bottled water.
May I know Do you use RO filtration? today,quality_query,,Our water goes through advanced purification.
Please tell me Is the water safe to drink? today,quality_query,,We use multi-stage filtration and RO purification.
Please tell me Hello right now,greeting,,Welcome to our AI assistant.
Could you tell me How can I contact you? in PCMC,contact_query,PCMC,Customer support is available during business hours.
I want to know Do you provide branded bottles? in Pune,branding_query,Pune,Custom branding is available for bulk orders.
Can you explain Good morning for home delivery,greeting,,Hi! How can we help you today?
May I know Can I get water delivery today? right now,delivery_query,,Delivery usually takes 2 hours.
Please tell me Do you offer bulk pricing? in PCMC,price_query,PCMC,The 20L refill jar costs approximately ₹40.
May I know Hello for business use,greeting,,Hi! How can we help you today?
Please help me with Namaste in Pune,greeting,Pune,Hi! How can we help you today?
Give information about Do you have customer support? today,contact_query,,You can contact us through our website.
Please tell me Can I customize water bottles? for business use,branding_query,,"Yes, we provide private labeling services."
May I know Can I call for orders? quickly,contact_query,,You can contact us through our website.
Give information about Do you provide branded bottles? today,branding_query,,Custom branding is available for bulk orders.
Can you explain How do I place an order? quickly,contact_query,,You can contact us through our website.
I want to know How long does delivery take? right now,delivery_query,,"Yes, we provide delivery across Pune."
Could you tell me Is the water safe to drink? right now,quality_query,,"Yes, our water is hygienic and safe."
I want to know Do you offer bulk pricing? in Pune,price_query,Pune,The 1 liter bottle costs around ₹18.
Please help me with Namaste for business use,greeting,,Hi! How can we help you today?
Please help me with Can you help me? for home delivery,greeting,,Hello! Welcome to Gagangiri Foods.
Could you tell me What filtration process do you use? for business use,quality_query,,"Yes, our water is hygienic and safe."
Could you tell me Good morning quickly,greeting,,Greetings from Gagangiri Foods.
Could you tell me What filtration process do you use? right now,quality_query,,"Yes, our water is hygienic and safe."
Can you explain Do you deliver 20L jars? right now,delivery_query,20L Jar,Same day delivery is available.
Please help me with Do you provide delivery in Pune? in PCMC,delivery_query,"Pune, PCMC",Same day delivery is available.
Can you explain Do you deliver 20L jars? quickly,delivery_query,20L Jar,Same day delivery is available.
Please help me with Can I call for orders? in Pune,contact_query,Pune,Customer support is available during business hours.
Can you explain Is your water purified? in Pune,quality_query,Pune,We use multi-stage filtration and RO purification.
Could you tell me Do you provide delivery in Pune? in Pune,delivery_query,Pune,Delivery usually takes 2 hours.
May I know Is same day delivery available? right now,delivery_query,,Delivery usually takes 2 hours.
Could you tell me Can you help me? right now,greeting,,Hi! How can we help you today?
Give information about Do you provide delivery in Pune? today,delivery_query,Pune,Same day delivery is available.
May I know Is your water purified? for home delivery,quality_query,,Our water goes through advanced purification.
Give information about Can I customize water bottles? right now,branding_query,,We offer logo printing on water bottles.
Could you tell me Do you provide branded bottles? for home delivery,branding_query,,We offer logo printing on water bottles.
Please tell me Can I customize water bottles? in PCMC,branding_query,PCMC,"Yes, we provide private labeling services."
May I know Do you print logos on bottles? for business use,branding_query,,We offer logo printing on water bottles.
May I know Do you offer private labeling? in Pune,branding_query,Pune,Custom branding is available for bulk orders.
May I know Do you offer private labeling? for home delivery,branding_query,,"Yes, we provide private labeling services."
Please tell me Do you have customer support? today,contact_query,,Please use the contact form for assistance.
May I know Hello quickly,greeting,,Welcome to our AI assistant.
May I know How do I place an order? for business use,contact_query,,You can contact us through our website.
Please help me with Can I customize water bottles? quickly,branding_query,,Custom branding is available for bulk orders.
May I know How long does delivery take? quickly,delivery_query,,"Yes, we provide delivery across Pune."
Could you tell me Is support available? for home delivery,greeting,,Welcome to our AI assistant.
Please tell me How do I place an order? today,contact_query,,Customer support is available during business hours.
Please tell me Do you have customer support? in Pune,contact_query,Pune,Please use the contact form for assistance.
Please help me with Do you provide delivery in Pune? today,delivery_query,Pune,We deliver 20L jars and bottled water.
Could you tell me Do you offer bulk pricing? today,price_query,,Bulk pricing is available for large orders.
Could you tell me Is your water purified? today,quality_query,,"Yes, our water is hygienic and safe."
I want to know Is your water purified? quickly,quality_query,,We use multi-stage filtration and RO purification.
Please tell me Do you deliver 20L jars? right now,delivery_query,20L Jar,"Yes, we provide delivery across Pune."
Give information about Is the water safe to drink? for business use,quality_query,,We use multi-stage filtration and RO purification.
Could you tell me Do you deliver 20L jars? for home delivery,delivery_query,20L Jar,"Yes, we provide delivery across Pune."
Could you tell me Tell me the bottle prices. today,price_query,,The 1 liter bottle costs around ₹18.
Could you tell me Hey in Pune,greeting,Pune,Hi! How can we help you today?
Please tell me Is your water purified? for home delivery,quality_query,,Our water goes through advanced purification.
Could you tell me Can I get water delivery today? for home delivery,delivery_query,,We deliver 20L jars and bottled water.
May I know Can I customize water bottles? right now,branding_query,,"Yes, we provide private labeling services."
Please help me with Tell me the bottle prices. right now,price_query,,The 20L refill jar costs approximately ₹40.
Please help me with Is same day delivery available? in Pune,delivery_query,Pune,We deliver 20L jars and bottled water.
Please help me with Do you have customer support? right now,contact_query,,Please use the contact form for assistance.
May I know Do you provide delivery in Pune? right now,delivery_query,Pune,"Yes, we provide delivery across Pune."
Please tell me What filtration process do you use? for home delivery,quality_query,,We use multi-stage filtration and RO purification.
I want to know Do you have customer support? for business use,contact_query,,Please use the contact form for assistance.
Can you explain How long does delivery take? in PCMC,delivery_query,PCMC,We deliver 20L jars and bottled water.
Could you tell me What is the price of 1 liter bottle? for business use,price_query,,The 20L refill jar costs approximately ₹40.
Can you explain How long does delivery take? today,delivery_query,,Same day delivery is available.
Can you explain Is same day delivery available? today,delivery_query,,Delivery usually takes 2 hours.
May I know Do you offer bulk pricing? right now,price_query,,The 1 liter bottle costs around ₹18.
May I know Do you offer bulk pricing? for business use,price_query,,The 1 liter bottle costs around ₹18.
Can you explain Can I get water delivery today? for home delivery,delivery_query,,"Yes, we provide delivery across Pune."
May I know Do you provide branded bottles? right now,branding_query,,Custom branding is available for bulk orders.
Can you explain How long does delivery take? quickly,delivery_query,,We deliver 20L jars and bottled water.
Can you explain Hey in PCMC,greeting,PCMC,Hello! Welcome to Gagangiri Foods.
I want to know How much is the 20L jar? in Pune,price_query,"Pune, 20L Jar",The 1 liter bottle costs around ₹18.
Please help me with Can I get water delivery today? in Pune,delivery_query,Pune,Same day delivery is available.
May I know How do I place an order? today,contact_query,,Customer support is available during business hours.
May I know Is your water purified? for home delivery,quality_query,,We use multi-stage filtration and RO purification.
May I know Is same day delivery available? quickly,delivery_query,,Delivery usually takes 2 hours.
Please tell me Do you have customer support? for home delivery,contact_query,,You can contact us through our website.
Can you explain Do you have customer support? quickly,contact_query,,Customer support is available during business hours.
I want to know Do you provide delivery in Pune? for business use,delivery_query,Pune,Delivery usually takes 2 hours.
I want to know Do you deliver 20L jars? quickly,delivery_query,20L Jar,We deliver 20L jars and bottled water.
Please help me with Can I get water delivery today? right now,delivery_query,,"Yes, we provide delivery across Pune."
May I know How much is the 20L jar? right now,price_query,20L Jar,Bulk pricing is available for large orders.
May I know Do you print logos on bottles? for home delivery,branding_query,,We offer logo printing on water bottles.
May I know What filtration process do you use? today,quality_query,,"Yes, our water is hygienic and safe."
Please tell me Can I get water delivery today? right now,delivery_query,,Same day delivery is available.
Give information about How much is the 20L jar? for home delivery,price_query,20L Jar,Bulk pricing is available for large orders.
I want to know Do you have customer support? for home delivery,contact_query,,Please use the contact form for assistance.
Please help me with Can I get water delivery today? in PCMC,delivery_query,PCMC,Delivery usually takes 2 hours.
Could you tell me Good morning today,greeting,,Greetings from Gagangiri Foods.
Please help me with How long does delivery take? right now,delivery_query,,Delivery usually takes 2 hours.
Please help me with How can I contact you? in Pune,contact_query,Pune,You can contact us through our website.
Please help me with Namaste quickly,greeting,,Welcome to our AI assistant.
Could you tell me Is support available? quickly,greeting,,Welcome to our AI assistant.
Give information about Do you provide branded bottles? for business use,branding_query,,Custom branding is available for bulk orders.
Could you tell me What filtration process do you use? quickly,quality_query,,"Yes, our water is hygienic and safe."
Can you explain Can I call for orders? right now,contact_query,,Please use the contact form for assistance.
May I know Do you provide branded bottles? today,branding_query,,Custom branding is available for bulk orders.
I want to know Good morning in PCMC,greeting,PCMC,Greetings from Gagangiri Foods.
Can you explain Can I call for orders? today,contact_query,,You can contact us through our website.
Give information about Can I customize water bottles? in Pune,branding_query,Pune,Custom branding is available for bulk orders.
Please tell me Can I customize water bottles? in Pune,branding_query,Pune,We offer logo printing on water bottles.
Could you tell me What filtration process do you use? in PCMC,quality_query,PCMC,We use multi-stage filtration and RO purification.
Give information about What filtration process do you use? for home delivery,quality_query,,Our water goes through advanced purification.
Can you explain Can I get water delivery today? right now,delivery_query,,"Yes, we provide delivery across Pune."
Can you explain How do I place an order? in PCMC,contact_query,PCMC,Please use the contact form for assistance.
Could you tell me How long does delivery take? right now,delivery_query,,Delivery usually takes 2 hours.
Please tell me What filtration process do you use? right now,quality_query,,"Yes, our water is hygienic and safe."
I want to know Hey today,greeting,,Welcome to our AI assistant.
Could you tell me Do you print logos on bottles? in Pune,branding_query,Pune,Custom branding is available for bulk orders.
Give information about Namaste today,greeting,,Welcome to our AI assistant.
Please help me with Good morning in PCMC,greeting,PCMC,Welcome to our AI assistant.
Give information about Can I get water delivery today? right now,delivery_query,,We deliver 20L jars and bottled water.
Could you tell me Do you provide delivery in Pune? in Pune,delivery_query,Pune,We deliver 20L jars and bottled water.
Could you tell me How can I contact you? in Pune,contact_query,Pune,Customer support is available during business hours.
I want to know Can you help me? for home delivery,greeting,,Hi! How can we help you today?
Give information about What filtration process do you use? today,quality_query,,We use multi-stage filtration and RO purification.
Give information about Is same day delivery available? in PCMC,delivery_query,PCMC,"Yes, we provide delivery across Pune."
Can you explain Hi for home delivery,greeting,,Welcome to our AI assistant.
Please help me with How do I place an order? in PCMC,contact_query,PCMC,Please use the contact form for assistance.
Give information about Hello right now,greeting,,Hello! Welcome to Gagangiri Foods.
Please help me with Do you print logos on bottles? in PCMC,branding_query,PCMC,We offer logo printing on water bottles.
Please tell me Can I customize water bottles? today,branding_query,,"Yes, we provide private labeling services."
Give information about Is same day delivery available? for business use,delivery_query,,Delivery usually takes 2 hours.
Could you tell me What is the price of 1 liter bottle? for home delivery,price_query,,The 20L refill jar costs approximately ₹40.
I want to know Is your water purified? today,quality_query,,"Yes, our water is hygienic and safe."
Please help me with Is the water safe to drink? in PCMC,quality_query,PCMC,We use multi-stage filtration and RO purification.
Could you tell me Do you offer private labeling? in Pune,branding_query,Pune,We offer logo printing on water bottles.
Please help me with Do you use RO filtration? quickly,quality_query,,We use multi-stage filtration and RO purification.
May I know What is the price of 1 liter bottle? today,price_query,,Bulk pricing is available for large orders.
I want to know Do you deliver 20L jars? in Pune,delivery_query,"Pune, 20L Jar",We deliver 20L jars and bottled water.
May I know Is same day delivery available? for home delivery,delivery_query,,Delivery usually takes 2 hours.
Please tell me Good evening quickly,greeting,,Welcome to our AI assistant.
Please help me with How can I contact you? for home delivery,contact_query,,Customer support is available during business hours.
Please help me with What filtration process do you use? in Pune,quality_query,Pune,"Yes, our water is hygienic and safe."
May I know Can you help me? right now,greeting,,Hello! Welcome to Gagangiri Foods.
Give information about How do I place an order? for business use,contact_query,,Customer support is available during business hours.
Can you explain Is the water safe to drink? quickly,quality_query,,We use multi-stage filtration and RO purification.
May I know Namaste right now,greeting,,Welcome to our AI assistant.
Could you tell me Can I get water delivery today? in PCMC,delivery_query,PCMC,Delivery usually takes 2 hours.
Could you tell me How do I place an order? in PCMC,contact_query,PCMC,Customer support is available during business hours.
Can you explain Do you use RO filtration? in Pune,quality_query,Pune,Our water goes through advanced purification.
Please help me with Hello for business use,greeting,,Hi! How can we help you today?
May I know Do you provide delivery in Pune? right now,delivery_query,Pune,Same day delivery is available.
Can you explain Is your water purified? quickly,quality_query,,Our water goes through advanced purification.
May I know Hi for business use,greeting,,Greetings from Gagangiri Foods.
May I know Tell me the bottle prices. for business use,price_query,,Bulk pricing is available for large orders.
I want to know Do you use RO filtration? for home delivery,quality_query,,"Yes, our water is hygienic and safe."
I want to know What filtration process do you use? in Pune,quality_query,Pune,We use multi-stage filtration and RO purification.
Give information about Can I call for orders? today,contact_query,,Customer support is available during business hours.
Please help me with Tell me the bottle prices. quickly,price_query,,The 1 liter bottle costs around ₹18.
Can you explain Hello right now,greeting,,Welcome to our AI assistant.
May I know Do you deliver 20L jars? quickly,delivery_query,20L Jar,Same day delivery is available.
May I know Do you provide branded bottles? quickly,branding_query,,We offer logo printing on water bottles.
May I know Do you print logos on bottles? for business use,branding_query,,"Yes, we provide private labeling services."
May I know How long does delivery take? right now,delivery_query,,Delivery usually takes 2 hours.
I want to know Do you use RO filtration? in PCMC,quality_query,PCMC,We use multi-stage filtration and RO purification.
I want to know Do you provide delivery in Pune? quickly,delivery_query,Pune,Same day delivery is available.
Can you explain Hey quickly,greeting,,Greetings from Gagangiri Foods.
Give information about Is your water purified? today,quality_query,,We use multi-stage filtration and RO purification.
I want to know Can I call for orders? in PCMC,contact_query,PCMC,Please use the contact form for assistance.
Could you tell me Do you deliver 20L jars? in Pune,delivery_query,"Pune, 20L Jar",We deliver 20L jars and bottled water.
Give information about How long does delivery take? for home delivery,delivery_query,,Same day delivery is available.
May I know Do you provide delivery in Pune? in Pune,delivery_query,Pune,We deliver 20L jars and bottled water.
Please help me with Hey right now,greeting,,Welcome to our AI assistant.
Please help me with Do you provide delivery in Pune? right now,delivery_query,Pune,Same day delivery is available.
Give information about Can I call for orders? today,contact_query,,You can contact us through our website.
Please help me with Can I get water delivery today? for business use,delivery_query,,Delivery usually takes 2 hours.
Give information about Do you print logos on bottles? for home delivery,branding_query,,"Yes, we provide private labeling services."
Please tell me Hello today,greeting,,Hi! How can we help you today?
Please help me with Do you provide branded bottles? quickly,branding_query,,"Yes, we provide private labeling services."
Please tell me Do you provide delivery in Pune? in PCMC,delivery_query,"Pune, PCMC",Same day delivery is available.
I want to know Do you provide branded bottles? right now,branding_query,,We offer logo printing on water bottles.
I want to know How much is the 20L jar? today,price_query,20L Jar,Bulk pricing is available for large orders.
Give information about Can I customize water bottles? for home delivery,branding_query,,Custom branding is available for bulk orders.
Please tell me Do you have customer support? right now,contact_query,,Customer support is available during business hours.
May I know Is support available? quickly,greeting,,Greetings from Gagangiri Foods.
Can you explain Is support available? today,greeting,,Welcome to our AI assistant.
I want to know How long does delivery take? for home delivery,delivery_query,,We deliver 20L jars and bottled water.
Can you explain Hey for home delivery,greeting,,Welcome to our AI assistant.
Can you explain How long does delivery take? right now,delivery_query,,"Yes, we provide delivery across Pune."
Please help me with Do you use RO filtration? quickly,quality_query,,Our water goes through advanced purification.
Can you explain Is support available? right now,greeting,,Greetings from Gagangiri Foods.
May I know Good evening today,greeting,,Welcome to our AI assistant.
Give information about How can I contact you? for home delivery,contact_query,,Please use the contact form for assistance.
Please help me with Hello in Pune,greeting,Pune,Hi! How can we help you today?
May I know Do you deliver 20L jars? right now,delivery_query,20L Jar,Delivery usually takes 2 hours.
Can you explain How much is the 20L jar? for home delivery,price_query,20L Jar,The 1 liter bottle costs around ₹18.
May I know What is the price of 1 liter bottle? today,price_query,,The 20L refill jar costs approximately ₹40.
Give information about Good morning today,greeting,,Welcome to our AI assistant.
I want to know Do you provide delivery in Pune? in Pune,delivery_query,Pune,Delivery usually takes 2 hours.
I want to know Good evening today,greeting,,Greetings from Gagangiri Foods.
Please help me with Is the water safe to drink? quickly,quality_query,,"Yes, our water is hygienic and safe."
I want to know Namaste for business use,greeting,,Greetings from Gagangiri Foods.
May I know How do I place an order? for home delivery,contact_query,,Please use the contact form for assistance.
Could you tell me How long does delivery take? in PCMC,delivery_query,PCMC,Delivery usually takes 2 hours.
Can you explain Hello today,greeting,,Greetings from Gagangiri Foods.
I want to know Namaste in PCMC,greeting,PCMC,Hello! Welcome to Gagangiri Foods.
Can you explain What filtration process do you use? in PCMC,quality_query,PCMC,Our water goes through advanced purification.
Could you tell me What filtration process do you use? in PCMC,quality_query,PCMC,"Yes, our water is hygienic and safe."
May I know Good evening quickly,greeting,,Hello! Welcome to Gagangiri Foods.
I want to know Do you provide branded bottles? quickly,branding_query,,"Yes, we provide private labeling services."
Give information about Can I customize water bottles? today,branding_query,,Custom branding is available for bulk orders.
I want to know How can I contact you? for business use,contact_query,,You can contact us through our website.
I want to know Is same day delivery available? quickly,delivery_query,,We deliver 20L jars and bottled water.
May I know Can I customize water bottles? in PCMC,branding_query,PCMC,"Yes, we provide private labeling services."
Please tell me What is the price of 1 liter bottle? for home delivery,price_query,,Bulk pricing is available for large orders.
May I know Can I customize water bottles? for home delivery,branding_query,,Custom branding is available for bulk orders.
Can you explain Hello quickly,greeting,,Hi! How can we help you today?
May I know Do you print logos on bottles? right now,branding_query,,"Yes, we provide private labeling services."
May I know How can I contact you? right now,contact_query,,Please use the contact form for assistance.
I want to know Do you use RO filtration? in Pune,quality_query,Pune,We use multi-stage filtration and RO purification.
Can you explain Is the water safe to drink? quickly,quality_query,,Our water goes through advanced purification.
Could you tell me How long does delivery take? today,delivery_query,,"Yes, we provide delivery across Pune."
Please help me with Do you offer private labeling? for business use,branding_query,,Custom branding is available for bulk orders.
Can you explain What filtration process do you use? right now,quality_query,,We use multi-stage filtration and RO purification.
Please help me with How do I place an order? quickly,contact_query,,Customer support is available during business hours.
I want to know Can you help me? in PCMC,greeting,PCMC,Welcome to our AI assistant.
Can you explain Can I call for orders? in PCMC,contact_query,PCMC,You can contact us through our website.
Please help me with Tell me the bottle prices. today,price_query,,The 20L refill jar costs approximately ₹40.
Could you tell me Do you provide delivery in Pune? right now,delivery_query,Pune,Same day delivery is available.
Please help me with Good evening right now,greeting,,Welcome to our AI assistant.
Please tell me What is the price of 1 liter bottle? quickly,price_query,,The 1 liter bottle costs around ₹18.
I want to know How can I contact you? for business use,contact_query,,Please use the contact form for assistance.
Can you explain Do you have customer support? for business use,contact_query,,You can contact us through our website.
Can you explain Can I customize water bottles? right now,branding_query,,Custom branding is available for bulk orders.
May I know Do you have customer support? for business use,contact_query,,Customer support is available during business hours.
Give information about Hey right now,greeting,,Hi! How can we help you today?
May I know Do you offer private labeling? for business use,branding_query,,We offer logo printing on water bottles.
I want to know Can I get water delivery today? for business use,delivery_query,,"Yes, we provide delivery across Pune."
May I know Do you provide delivery in Pune? in PCMC,delivery_query,"Pune, PCMC",Same day delivery is available.
Can you explain Do you use RO filtration? for home delivery,quality_query,,"Yes, our water is hygienic and safe."
Give information about Can I customize water bottles? quickly,branding_query,,Custom branding is available for bulk orders.
Could you tell me Good evening quickly,greeting,,Hi! How can we help you today?
May I know Is your water purified? for home delivery,quality_query,,"Yes, our water is hygienic and safe."
Could you tell me Tell me the bottle prices. for home delivery,price_query,,Bulk pricing is available for large orders.
Give information about Is the water safe to drink? right now,quality_query,,"Yes, our water is hygienic and safe."
Please tell me How can I contact you? for business use,contact_query,,Customer support is available during business hours.
Please tell me Can I get water delivery today? quickly,delivery_query,,Delivery usually takes 2 hours.
May I know Is the water safe to drink? right now,quality_query,,We use multi-stage filtration and RO purification.
May I know Is support available? today,greeting,,Hi! How can we help you today?
Please help me with Is same day delivery available? quickly,delivery_query,,Same day delivery is available.
May I know Good evening for business use,greeting,,Hello! Welcome to Gagangiri Foods.
Please help me with Do you have customer support? quickly,contact_query,,Please use the contact form for assistance.
Please help me with What is the price of 1 liter bottle? in PCMC,price_query,PCMC,Bulk pricing is available for large orders.
I want to know Do you offer bulk pricing? right now,price_query,,The 20L refill jar costs approximately ₹40.
Please help me with Is support available? for business use,greeting,,Greetings from Gagangiri Foods.
Can you explain Is the water safe to drink? in PCMC,quality_query,PCMC,Our water goes through advanced purification.
Could you tell me Can I call for orders? quickly,contact_query,,You can contact us through our website.
Can you explain Do you provide branded bottles? in Pune,branding_query,Pune,"Yes, we provide private labeling services."
May I know Do you deliver 20L jars? in Pune,delivery_query,"Pune, 20L Jar","Yes, we provide delivery across Pune."
I want to know What is the price of 1 liter bottle? in Pune,price_query,Pune,The 1 liter bottle costs around ₹18.
Can you explain Do you deliver 20L jars? in PCMC,delivery_query,"PCMC, 20L Jar","Yes, we provide delivery across Pune."
Give information about Do you deliver 20L jars? in Pune,delivery_query,"Pune, 20L Jar","Yes, we provide delivery across Pune."
Please help me with Can I customize water bottles? in PCMC,branding_query,PCMC,We offer logo printing on water bottles.
May I know Can I call for orders? for business use,contact_query,,Customer support is available during business hours.
Could you tell me Hello quickly,greeting,,Hi! How can we help you today?
Please tell me Can I customize water bottles? quickly,branding_query,,We offer logo printing on water bottles.
I want to know Do you print logos on bottles? right now,branding_query,,"Yes, we provide private labeling services."
Please tell me Can I customize water bottles? for business use,branding_query,,Custom branding is available for bulk orders.
I want to know Do you provide branded bottles? in PCMC,branding_query,PCMC,Custom branding is available for bulk orders.
Please help me with Hello for business use,greeting,,Hello! Welcome to Gagangiri Foods.
May I know Do you provide branded bottles? quickly,branding_query,,Custom branding is available for bulk orders.
Give information about How can I contact you? in PCMC,contact_query,PCMC,You can contact us through our website.
May I know What is the price of 1 liter bottle? in Pune,price_query,Pune,The 1 liter bottle costs around ₹18.
Give information about How long does delivery take? quickly,delivery_query,,"Yes, we provide delivery across Pune."
Could you tell me Do you offer bulk pricing? for business use,price_query,,Bulk pricing is available for large orders.
I want to know Good evening quickly,greeting,,Welcome to our AI assistant.
Could you tell me Is same day delivery available? today,delivery_query,,Same day delivery is available.
Please tell me Hi in Pune,greeting,Pune,Welcome to our AI assistant.
Can you explain How can I contact you? in Pune,contact_query,Pune,You can contact us through our website.
Please help me with Can I call for orders? in PCMC,contact_query,PCMC,Please use the contact form for assistance.
Please tell me How can I contact you? in Pune,contact_query,Pune,You can contact us through our website.
Please help me with Tell me the bottle prices. today,price_query,,The 1 liter bottle costs around ₹18.
May I know Hello for business use,greeting,,Welcome to our AI assistant.
Give information about Do you provide delivery in Pune? quickly,delivery_query,Pune,Same day delivery is available.
Give information about Hi in Pune,greeting,Pune,Welcome to our AI assistant.
Please tell me Good evening in Pune,greeting,Pune,Greetings from Gagangiri Foods.
Please help me with Do you provide branded bottles? in PCMC,branding_query,PCMC,"Yes, we provide private labeling services."
Give information about Do you provide delivery in Pune? quickly,delivery_query,Pune,We deliver 20L jars and bottled water.
Please tell me Tell me the bottle prices. in Pune,price_query,Pune,The 20L refill jar costs approximately ₹40.
Please tell me Do you offer private labeling? for home delivery,branding_query,,Custom branding is available for bulk orders.
Could you tell me Do you use RO filtration? in Pune,quality_query,Pune,We use multi-stage filtration and RO purification.
Please help me with Hello for home delivery,greeting,,Greetings from Gagangiri Foods.
Give information about Do you use RO filtration? quickly,quality_query,,We use multi-stage filtration and RO purification.
May I know What filtration process do you use? quickly,quality_query,,Our water goes through advanced purification.
Please tell me Do you have customer support? for home delivery,contact_query,,Customer support is available during business hours.
Could you tell me Is the water safe to drink? for home delivery,quality_query,,We use multi-stage filtration and RO purification.
Please tell me How do I place an order? today,contact_query,,You can contact us through our website.
Can you explain Tell me the bottle prices. for home delivery,price_query,,The 1 liter bottle costs around ₹18.
Please tell me Do you have customer support? in PCMC,contact_query,PCMC,You can contact us through our website.
May I know Good morning quickly,greeting,,Greetings from Gagangiri Foods.
Please help me with Do you offer bulk pricing? in PCMC,price_query,PCMC,The 20L refill jar costs approximately ₹40.
Please help me with How do I place an order? quickly,contact_query,,Please use the contact form for assistance.
Can you explain Good evening in Pune,greeting,Pune,Hello! Welcome to Gagangiri Foods.
Could you tell me How do I place an order? today,contact_query,,Please use the contact form for assistance.
Please help me with Is support available? for home delivery,greeting,,Greetings from Gagangiri Foods.
I want to know How do I place an order? in Pune,contact_query,Pune,Please use the contact form for assistance.
I want to know Do you deliver 20L jars? quickly,delivery_query,20L Jar,Delivery usually takes 2 hours.
Please help me with Do you provide branded bottles? in Pune,branding_query,Pune,"Yes, we provide private labeling services."
Please help me with Do you offer private labeling? today,branding_query,,We offer logo printing on water bottles.
Can you explain Is support available? in Pune,greeting,Pune,Hello! Welcome to Gagangiri Foods.
Give information about Is support available? today,greeting,,Welcome to our AI assistant.
Please help me with Can I call for orders? right now,contact_query,,Customer support is available during business hours.
May I know What is the price of 1 liter bottle? for home delivery,price_query,,The 1 liter bottle costs around ₹18.
I want to know Is support available? today,greeting,,Welcome to our AI assistant.
Could you tell me Hi for business use,greeting,,Hi! How can we help you today?
Please help me with What filtration process do you use? today,quality_query,,"Yes, our water is hygienic and safe."
I want to know Is support available? for home delivery,greeting,,Hi! How can we help you today?
Can you explain Hey in PCMC,greeting,PCMC,Welcome to our AI assistant.
Can you explain Do you have customer support? in Pune,contact_query,Pune,You can contact us through our website.
Give information about Do you use RO filtration? in Pune,quality_query,Pune,Our water goes through advanced purification.
